"Client","Project","Service Request","Sample","Lab Code","Sample Type","Date Collected","Date Received","Date Extracted","Date Analyzed","Extraction Method","Method","Matrix","Basis","Units","Component","Dilution Factor","Reporting Limit","Detection Limit","Result","Result Notes","Spike Concentration","Percent Recovery","Acceptance Limits","Average","RPD","Retention Time","Regulatory Limit"
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 36-MOOSE RIVER","K2405043-016","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","1.6","=,J","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 40-BING'S LANDING","K2405043-017","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","11400","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 40-BING'S LANDING","K2405043-017","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","0.79","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 40-BING'S LANDING","K2405043-017","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","253","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 40-BING'S LANDING","K2405043-017","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","1100","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 40-BING'S LANDING","K2405043-017","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","0.9","=,J","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 43-UPSTREAM OF DOW ISLAND","K2405043-018","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Calcium, Total","1","20","6","11500","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 43-UPSTREAM OF DOW ISLAND","K2405043-018","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Copper, Total","1","0.10","0.05","0.73","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 43-UPSTREAM OF DOW ISLAND","K2405043-018","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Iron, Total","1","2.0","0.3","270","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 43-UPSTREAM OF DOW ISLAND","K2405043-018","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Magnesium, Total","1","10","2","1100","=","","","","","","",""
"SGS North America - AK (SGS Environmental)","1242017","K2405043","RM 43-UPSTREAM OF DOW ISLAND","K2405043-018","SMPL","05/08/2024","05/15/2024","05/20/2024","05/29/2024","EPA CLP ILM04.0","200.8","Water","NA","UG/L","Zinc, Total","1","2.0","0.5","0.9","=,J","","","","","","",""
